id,customer_id,employee_id,order_date,required_date,shipped_date,ship_via,freight,ship_name,ship_address,ship_city,ship_region,ship_postal_code,ship_country
12747,THEBI,7,"2012-09-11 06:03:24","2012-09-28 05:43:24","2012-09-25 17:11:34",1,402.5,"Cactus Comidas para llevar","Cerrito 333","Buenos Aires","South America",1010,Argentina
12748,KOENE,1,"2013-12-23 05:42:44","2014-02-01 23:28:11","2013-12-23 19:19:01",3,263.75,"Victuailles en stock","2, rue du Commerce",Lyon,"Western Europe",69004,France
12749,BLONP,9,"2013-07-01 07:48:43","2013-08-03 00:00:48","2013-07-11 07:45:22",2,409.75,"Santé Gourmet","Erling Skakkes gate 78",Stavern,Scandinavia,4110,Norway
12750,VINET,9,"2012-12-24 02:50:46","2012-12-26 12:17:17","2013-01-04 05:50:49",2,443.5,"Split Rail Beer & Ale","P.O. Box 555",Lander,"North America",82520,USA
12751,THEBI,7,"2012-11-13 15:40:08","2012-12-09 16:17:30","2012-11-15 12:25:51",1,349.5,LINO-Delicateses,"Ave. 5 de Mayo Porlamar","I. de Margarita","South America",4980,Venezuela
12752,ROMEY,5,"2014-12-28 09:46:30","2014-12-29 00:36:31","2015-01-05 11:36:47",3,323.5,"Trail's Head Gourmet Provisioners","722 DaVinci Blvd.",Kirkland,"North America",98034,USA
12753,VICTE,6,"2015-01-28 09:11:36","2015-02-03 22:01:23","2015-01-28 16:06:12",3,152.25,"Seven Seas Imports","90 Wadhurst Rd.",London,"British Isles","OX15 4NB",UK
12754,SAVEA,9,"2013-05-22 23:34:33","2013-06-27 20:13:08","2013-06-03 17:14:52",2,358.5,"Trail's Head Gourmet Provisioners","722 DaVinci Blvd.",Kirkland,"North America",98034,USA
12755,PERIC,6,"2014-06-01 05:43:54","2014-06-14 05:07:11","2014-06-02 01:06:42",2,151.25,"Furia Bacalhau e Frutos do Mar","Jardim das rosas n. 32",Lisboa,"Southern Europe",1675,Portugal
12756,LILAS,1,"2014-12-31 21:46:12","2015-01-07 06:35:47","2015-01-03 13:53:05",2,375.5,"Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.","Western Europe",60528,Germany
12757,FRANK,9,"2014-08-28 17:24:33","2014-10-15 20:28:11","2014-08-29 05:03:13",2,325.5,"Queen Cozinha","Alameda dos Canàrios, 891","Sao Paulo","South America",05487-020,Brazil
12758,HANAR,8,"2012-11-18 01:45:17","2012-11-29 23:06:58","2012-11-24 14:35:17",2,115.75,North/South,"South House 300 Queensbridge",London,"British Isles","SW7 1RZ",UK
12759,BERGS,6,"2013-02-28 02:36:17","2013-03-16 20:04:48","2013-03-12 21:20:43",2,313.75,"Romero y tomillo","Gran Vía, 1",Madrid,"Southern Europe",28001,Spain
12760,QUEEN,8,"2014-02-19 16:04:30","2014-03-04 18:12:42","2014-03-12 12:48:03",3,325.25,"Galería del gastronómo","Rambla de Cataluña, 23",Barcelona,"Southern Europe",8022,Spain
12761,SIMOB,9,"2013-11-03 15:35:44","2013-11-15 11:09:23","2013-11-15 14:39:39",2,415.5,"Furia Bacalhau e Frutos do Mar","Jardim das rosas n. 32",Lisboa,"Southern Europe",1675,Portugal
12762,WARTH,5,"2015-09-11 16:38:17","2015-09-30 16:29:49","2015-09-12 04:38:09",3,250,"Let's Stop N Shop","87 Polk St. Suite 5","San Francisco","North America",94117,USA
12763,SUPRD,9,"2015-12-10 00:50:21","2015-12-17 06:17:46","2015-12-10 06:03:35",2,235.5,"Bottom-Dollar Markets","23 Tsawassen Blvd.",Tsawassen,"North America","T2F 8M4",Canada
12764,ROMEY,3,"2014-09-11 13:07:51","2014-09-29 13:03:49","2014-09-17 02:12:31",3,140.5,"Great Lakes Food Market","2732 Baker Blvd.",Eugene,"North America",97403,USA
12765,BONAP,3,"2012-11-12 14:49:43","2012-11-22 22:31:04","2012-11-15 00:15:21",2,68.5,"Hanari Carnes","Rua do Paço, 67","Rio de Janeiro","South America",05454-876,Brazil
12766,BLONP,2,"2013-09-11 00:42:13","2013-09-17 12:39:22","2013-09-14 13:19:07",1,527.75,"Pericles Comidas clásicas","Calle Dr. Jorge Cash 321","México D.F.","Central America",05033,Mexico
12767,TRADH,2,"2013-12-06 21:35:37","2013-12-22 07:31:07","2013-12-10 19:20:45",3,396.5,Vaffeljernet,"Smagsloget 45","Århus","Northern Europe",8200,Denmark
12768,SPLIR,9,"2014-08-04 01:07:46","2014-08-25 17:04:27","2014-08-05 09:12:07",2,380,LINO-Delicateses,"Ave. 5 de Mayo Porlamar","I. de Margarita","South America",4980,Venezuela
12769,SUPRD,3,"2015-03-09 11:37:34","2015-03-20 10:39:56","2015-03-14 07:39:00",3,193.25,"Ana Trujillo Emparedados y helados","Avda. de la Constitución 2222","México D.F.","Central America",05021,Mexico
12770,ANATR,7,"2013-02-17 08:35:06","2013-03-09 22:50:44","2013-03-13 12:07:15",2,88.5,"Bon app'","12, rue des Bouchers",Marseille,"Western Europe",13008,France
12771,LAMAI,5,"2012-09-25 19:26:32","2012-10-12 01:37:33","2012-09-26 14:19:33",3,329.5,"Cactus Comidas para llevar","Cerrito 333","Buenos Aires","South America",1010,Argentina
12772,SUPRD,4,"2014-01-06 11:57:44","2014-01-24 04:34:03","2014-01-08 12:34:00",2,437.5,HILARION-Abastos,"Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal","South America",5022,Venezuela
12773,GALED,1,"2013-05-04 02:16:22","2013-06-20 07:07:54","2013-05-06 06:30:23",3,379,"Lazy K Kountry Store","12 Orchestra Terrace","Walla Walla","North America",99362,USA
12774,TOMSP,8,"2015-03-25 02:31:47","2015-05-16 07:38:24","2015-04-07 20:34:57",2,120.75,"Laughing Bacchus Wine Cellars","2319 Elm St.",Vancouver,"North America","V3F 2K1",Canada
12775,RICAR,9,"2015-04-11 08:21:40","2015-04-13 15:14:17","2015-04-17 12:14:27",3,325,GROSELLA-Restaurante,"5ª Ave. Los Palos Grandes",Caracas,"South America",1081,Venezuela
12776,FOLIG,4,"2014-04-18 03:31:15","2014-04-22 03:12:17","2014-05-05 01:08:40",3,429.5,"Franchi S.p.A.","Via Monte Bianco 34",Torino,"Southern Europe",10100,Italy
12777,RICSU,6,"2013-08-23 05:37:41","2013-09-15 15:27:46","2013-08-23 13:05:29",1,162.25,"Old World Delicatessen","2743 Bering St.",Anchorage,"North America",99508,USA
12778,HUNGO,4,"2015-11-27 02:08:30","2015-12-17 08:19:19","2015-11-29 22:24:01",3,211.25,"Trail's Head Gourmet Provisioners","722 DaVinci Blvd.",Kirkland,"North America",98034,USA
12779,SAVEA,7,"2013-03-14 09:09:33","2013-03-30 22:12:22","2013-03-16 07:00:00",2,142.5,"Gourmet Lanchonetes","Av. Brasil, 442",Campinas,"South America",04876-786,Brazil
12780,DRACD,2,"2015-06-04 14:54:56","2015-06-17 00:40:59","2015-06-06 15:23:14",2,278.75,"Blauer See Delikatessen","Forsterstr. 57",Mannheim,"Western Europe",68306,Germany
12781,LETSS,6,"2014-09-02 09:57:54","2014-09-19 05:22:46","2014-09-11 06:22:54",2,288,"Drachenblut Delikatessen","Walserweg 21",Aachen,"Western Europe",52066,Germany
12782,PICCO,7,"2013-08-15 20:58:42","2013-08-22 05:36:41","2013-08-18 06:08:57",3,231,"Du monde entier","67, rue des Cinquante Otages",Nantes,"Western Europe",44000,France
12783,SANTG,2,"2013-12-29 07:24:46","2014-01-30 14:42:22","2013-12-30 01:15:13",2,216.5,"Maison Dewey","Rue Joseph-Bens 532",Bruxelles,"Western Europe",B-1180,Belgium
12784,MORGK,5,"2014-05-20 14:34:00","2014-07-07 08:33:14","2014-06-17 14:43:01",3,254,"The Big Cheese","89 Jefferson Way Suite 2",Portland,"North America",97201,USA
12785,FISSA,3,"2013-07-19 13:00:10","2013-07-31 19:58:35","2013-07-24 03:15:40",2,474.25,"Antonio Moreno Taquería","Mataderos  2312","México D.F.","Central America",05023,Mexico
12786,SEVES,5,"2013-09-21 08:04:21","2013-09-27 04:56:03","2013-09-30 17:11:21",1,313.25,"Trail's Head Gourmet Provisioners","722 DaVinci Blvd.",Kirkland,"North America",98034,USA
12787,WANDK,7,"2013-03-07 18:10:54","2013-03-09 19:19:57","2013-03-13 16:42:28",1,485.5,North/South,"South House 300 Queensbridge",London,"British Isles","SW7 1RZ",UK
12788,AROUT,8,"2013-04-29 00:26:27","2013-05-01 03:47:21","2013-05-13 23:23:59",2,451.25,"Hungry Coyote Import Store","City Center Plaza 516 Main St.",Elgin,"North America",97827,USA
12789,SUPRD,8,"2012-07-12 04:15:09","2012-07-31 07:49:46","2012-07-30 23:58:31",1,52.25,"Rattlesnake Canyon Grocery","2817 Milton Dr.",Albuquerque,"North America",87110,USA
12790,PERIC,1,"2013-07-18 09:13:09","2013-07-19 05:02:22","2013-07-19 09:53:47",3,388.75,"Split Rail Beer & Ale","P.O. Box 555",Lander,"North America",82520,USA
12791,QUEEN,2,"2015-04-15 22:07:40","2015-04-23 19:24:25","2015-04-22 06:48:09",1,51.25,"Berglunds snabbköp","Berguvsvägen  8","Luleå","Northern Europe","S-958 22",Sweden
12792,PERIC,1,"2014-05-02 23:07:08","2014-05-17 02:19:11","2014-05-03 01:28:35",1,330.75,"Ana Trujillo Emparedados y helados","Avda. de la Constitución 2222","México D.F.","Central America",05021,Mexico
12793,EASTC,5,"2012-08-31 22:12:48","2012-09-01 11:10:49","2012-09-13 11:54:51",3,252,North/South,"South House 300 Queensbridge",London,"British Isles","SW7 1RZ",UK
12794,BERGS,2,"2015-03-01 14:48:58","2015-03-27 14:31:22","2015-03-02 05:23:18",3,177.75,"Que Delícia","Rua da Panificadora, 12","Rio de Janeiro","South America",02389-673,Brazil
12795,TRADH,2,"2013-10-06 09:31:19","2013-10-27 11:54:22","2013-10-18 11:02:37",2,330.5,"Magazzini Alimentari Riuniti","Via Ludovico il Moro 22",Bergamo,"Southern Europe",24100,Italy
12796,MAGAA,5,"2015-03-07 21:37:04","2015-03-16 13:41:33","2015-03-09 16:40:54",1,254,"Victuailles en stock","2, rue du Commerce",Lyon,"Western Europe",69004,France
12797,LINOD,1,"2015-06-04 20:19:01","2015-06-28 18:56:17","2015-06-05 01:33:41",1,378.5,"Simons bistro","Vinbæltet 34",Kobenhavn,"Northern Europe",1734,Denmark
12798,NORTS,5,"2013-07-01 15:50:54","2013-07-03 14:58:36","2013-07-21 22:48:22",3,139,"Ottilies Käseladen","Mehrheimerstr. 369","Köln","Western Europe",50739,Germany
12799,BOTTM,7,"2013-12-28 04:16:12","2014-01-06 17:55:56","2014-01-05 10:32:32",3,496.75,"Maison Dewey","Rue Joseph-Bens 532",Bruxelles,"Western Europe",B-1180,Belgium
12800,ANTON,5,"2014-03-07 00:06:05","2014-03-23 00:01:34","2014-03-16 01:35:52",1,36.5,"Ana Trujillo Emparedados y helados","Avda. de la Constitución 2222","México D.F.","Central America",05021,Mexico
12801,BLAUS,6,"2013-12-20 13:48:28","2013-12-22 05:08:35","2013-12-24 15:51:42",1,59,"Consolidated Holdings","Berkeley Gardens 12  Brewery",London,"British Isles","WX1 6LT",UK
12802,LAZYK,9,"2013-03-21 18:30:09","2013-03-29 03:01:24","2013-03-28 13:00:11",1,219.5,"Magazzini Alimentari Riuniti","Via Ludovico il Moro 22",Bergamo,"Southern Europe",24100,Italy
12803,MAGAA,5,"2012-10-13 21:39:16","2012-10-22 02:57:43","2012-10-26 22:05:37",3,135.75,"Morgenstern Gesundkost","Heerstr. 22",Leipzig,"Western Europe",04179,Germany
12804,KOENE,6,"2014-01-20 01:27:49","2014-01-24 09:37:50","2014-02-14 03:06:19",3,393.5,"Great Lakes Food Market","2732 Baker Blvd.",Eugene,"North America",97403,USA
12805,FISSA,1,"2013-10-13 11:31:10","2013-11-08 04:56:16","2013-10-29 08:12:12",1,349.25,"Du monde entier","67, rue des Cinquante Otages",Nantes,"Western Europe",44000,France
12806,WARTH,2,"2015-04-15 22:51:23","2015-04-25 12:46:44","2015-04-17 00:54:40",1,343.25,QUICK-Stop,"Taucherstraße 10",Cunewalde,"Western Europe",01307,Germany
12807,LACOR,9,"2014-09-16 05:12:35","2014-09-20 03:09:27","2014-09-25 22:49:56",1,526.25,"Tortuga Restaurante","Avda. Azteca 123","México D.F.","Central America",05033,Mexico
12808,SAVEA,5,"2015-06-23 18:44:48","2015-07-16 13:58:28","2015-07-09 15:06:22",2,315,QUICK-Stop,"Taucherstraße 10",Cunewalde,"Western Europe",01307,Germany
12809,CENTC,2,"2013-05-05 02:36:28","2013-05-21 22:48:45","2013-05-08 16:33:57",3,431.5,"Ana Trujillo Emparedados y helados","Avda. de la Constitución 2222","México D.F.","Central America",05021,Mexico
12810,WHITC,8,"2015-01-11 02:30:21","2015-01-12 22:58:30","2015-01-20 07:21:43",1,431.75,"Alfreds Futterkiste","Obere Str. 57",Berlin,"Western Europe",12209,Germany
12811,HUNGO,6,"2016-02-10 07:37:59","2016-02-23 10:00:46","2016-02-24 04:51:33",2,481.5,"Galería del gastronómo","Rambla de Cataluña, 23",Barcelona,"Southern Europe",8022,Spain
12812,OLDWO,8,"2013-11-30 15:11:32","2013-12-27 12:18:00","2013-12-02 06:59:23",3,407.25,"Ricardo Adocicados","Av. Copacabana, 267","Rio de Janeiro","South America",02389-890,Brazil
12813,WANDK,4,"2012-07-31 07:16:15","2012-08-14 07:13:56","2012-08-06 02:35:50",3,534.5,"Romero y tomillo","Gran Vía, 1",Madrid,"Southern Europe",28001,Spain
12814,AROUT,2,"2012-08-26 07:32:20","2012-09-14 12:41:15","2012-09-05 07:23:02",2,94.25,"Seven Seas Imports","90 Wadhurst Rd.",London,"British Isles","OX15 4NB",UK
12815,ERNSH,3,"2015-02-03 21:01:52","2015-02-10 23:02:50","2015-02-26 00:30:09",1,204.25,"Suprêmes délices","Boulevard Tirou, 255",Charleroi,"Western Europe",B-6000,Belgium
12816,FISSA,7,"2012-07-18 01:06:02","2012-08-15 21:39:36","2012-08-03 20:04:24",3,10.75,"Great Lakes Food Market","2732 Baker Blvd.",Eugene,"North America",97403,USA
12817,LACOR,6,"2013-04-13 20:13:20","2013-05-25 12:59:30","2013-04-17 03:38:33",2,110,"Franchi S.p.A.","Via Monte Bianco 34",Torino,"Southern Europe",10100,Italy
12818,PERIC,3,"2016-02-18 03:07:55","2016-03-01 18:17:37","2016-03-06 23:56:34",2,173.5,"Ana Trujillo Emparedados y helados","Avda. de la Constitución 2222","México D.F.","Central America",05021,Mexico
12819,HILAA,4,"2013-09-12 19:08:58","2013-09-22 17:06:46","2013-09-14 10:55:07",3,143.5,"Reggiani Caseifici","Strada Provinciale 124","Reggio Emilia","Southern Europe",42100,Italy
12820,WANDK,2,"2014-03-09 20:22:27","2014-03-22 13:40:12","2014-03-18 22:28:15",2,140,Frankenversand,"Berliner Platz 43","München","Western Europe",80805,Germany
12821,FRANR,5,"2014-01-03 23:13:46","2014-01-05 08:27:22","2014-01-09 04:41:11",3,186.75,"Galería del gastronómo","Rambla de Cataluña, 23",Barcelona,"Southern Europe",8022,Spain
12822,BONAP,3,"2013-12-17 08:30:18","2013-12-25 05:10:40","2013-12-21 23:43:09",2,277.5,"La corne d'abondance","67, avenue de l'Europe",Versailles,"Western Europe",78000,France
12823,OLDWO,3,"2012-09-20 10:43:35","2012-10-11 17:51:34","2012-09-21 02:18:07",3,454,"Bottom-Dollar Markets","23 Tsawassen Blvd.",Tsawassen,"North America","T2F 8M4",Canada
12824,TOMSP,6,"2012-10-12 22:21:13","2012-11-03 08:34:28","2012-10-13 21:21:13",2,391.25,"Reggiani Caseifici","Strada Provinciale 124","Reggio Emilia","Southern Europe",42100,Italy
12825,SAVEA,4,"2013-12-11 15:57:25","2013-12-31 15:56:42","2013-12-19 06:43:23",3,196.75,"Vins et alcools Chevalier","59 rue de l'Abbaye",Reims,"Western Europe",51100,France
12826,FAMIA,1,"2015-08-31 04:31:11","2015-09-22 06:36:05","2015-09-15 15:40:39",1,75.75,"Magazzini Alimentari Riuniti","Via Ludovico il Moro 22",Bergamo,"Southern Europe",24100,Italy
12827,FRANR,7,"2013-11-21 10:27:44","2013-12-03 17:19:58","2013-12-07 05:53:31",3,540.25,"The Big Cheese","89 Jefferson Way Suite 2",Portland,"North America",97201,USA
12828,BOLID,3,"2012-10-23 21:13:56","2012-11-10 02:52:32","2012-10-31 22:50:29",2,344.5,"Que Delícia","Rua da Panificadora, 12","Rio de Janeiro","South America",02389-673,Brazil
12829,BONAP,3,"2012-10-21 00:45:47","2012-11-19 06:54:15","2012-10-26 10:02:36",2,324.5,"Romero y tomillo","Gran Vía, 1",Madrid,"Southern Europe",28001,Spain
12830,NORTS,7,"2013-09-21 14:31:07","2013-10-19 09:55:24","2013-09-26 02:41:41",1,439.25,North/South,"South House 300 Queensbridge",London,"British Isles","SW7 1RZ",UK
12831,WANDK,7,"2014-04-16 19:41:24","2014-06-01 21:43:26","2014-04-29 18:34:59",1,282.25,"Around the Horn","Brook Farm Stratford St. Mary",Colchester,"British Isles","CO7 6JX",UK
12832,DRACD,4,"2013-10-29 09:24:30","2013-10-30 00:57:36","2013-11-03 19:54:46",3,499.75,"Blondel père et fils","24, place Kléber",Strasbourg,"Western Europe",67000,France
12833,BERGS,3,"2015-12-24 10:50:54","2015-12-31 10:29:51","2016-01-05 08:48:12",1,16.25,"Godos Cocina Típica","C/ Romero, 33",Sevilla,"Southern Europe",41101,Spain
12834,WOLZA,3,"2013-07-07 01:23:47","2013-08-17 09:48:05","2013-07-09 02:37:41",3,480,"B's Beverages","Fauntleroy Circus",London,"British Isles","EC2 5NT",UK
12835,LONEP,8,"2013-12-13 15:24:23","2014-01-09 18:49:21","2013-12-16 12:48:01",1,184.25,"Tortuga Restaurante","Avda. Azteca 123","México D.F.","Central America",05033,Mexico
12836,AROUT,5,"2015-05-15 23:40:19","2015-05-25 09:58:20","2015-05-20 11:22:53",1,104.25,"Mère Paillarde","43 rue St. Laurent","Montréal","North America","H1J 1C3",Canada
12837,EASTC,4,"2014-08-06 10:58:44","2014-08-19 06:34:46","2014-08-06 21:10:22",1,293.5,"Ricardo Adocicados","Av. Copacabana, 267","Rio de Janeiro","South America",02389-890,Brazil
12838,BOTTM,1,"2012-07-16 08:10:59","2012-07-22 12:42:37","2012-07-17 18:46:56",1,71,"Alfred's Futterkiste","Obere Str. 57",Berlin,"Western Europe",12209,Germany
12839,WOLZA,1,"2014-09-13 21:43:18","2014-11-03 07:15:38","2014-09-16 12:44:45",2,253.5,"Pericles Comidas clásicas","Calle Dr. Jorge Cash 321","México D.F.","Central America",05033,Mexico
12840,DRACD,8,"2012-07-15 07:34:53","2012-07-16 16:45:21","2012-07-18 01:51:47",1,200.5,"Drachenblut Delikatessen","Walserweg 21",Aachen,"Western Europe",52066,Germany
12841,CENTC,4,"2013-09-14 15:10:58","2013-10-01 09:08:56","2013-10-02 02:03:24",3,77.5,"Blondel père et fils","24, place Kléber",Strasbourg,"Western Europe",67000,France
12842,FISSA,9,"2013-03-22 02:33:15","2013-03-31 20:09:29","2013-03-24 08:58:15",2,225.5,"Chop-suey Chinese","Hauptstr. 31",Bern,"Western Europe",3012,Switzerland
12843,QUICK,9,"2013-07-24 19:44:45","2013-08-11 17:12:39","2013-07-28 08:25:57",3,29.25,"Richter Supermarkt","Starenweg 5","Genève","Western Europe",1204,Switzerland
12844,FRANS,7,"2015-01-07 14:02:25","2015-02-09 12:38:51","2015-01-15 00:34:48",1,269,"Suprêmes délices","Boulevard Tirou, 255",Charleroi,"Western Europe",B-6000,Belgium
12845,NORTS,8,"2014-04-09 17:05:33","2014-04-19 13:25:40","2014-04-17 14:56:51",2,157.25,"Folk och fä HB","Åkergatan 24","Bräcke","Northern Europe","S-844 67",Sweden
12846,HANAR,5,"2013-04-27 17:34:58","2013-06-04 16:09:54","2013-05-02 22:53:55",2,15.25,"Eastern Connection","35 King George",London,"British Isles","WX3 6FW",UK
12847,OTTIK,6,"2014-02-08 21:55:41","2014-02-24 09:28:21","2014-02-10 16:39:15",1,210.25,"Bon app'","12, rue des Bouchers",Marseille,"Western Europe",13008,France
12848,SUPRD,4,"2014-10-17 01:33:25","2014-12-08 09:41:05","2014-11-09 17:46:52",2,329,"Gourmet Lanchonetes","Av. Brasil, 442",Campinas,"South America",04876-786,Brazil
12849,SPECD,9,"2015-08-28 04:41:16","2015-08-30 09:45:20","2015-09-08 14:46:55",3,346.25,"Franchi S.p.A.","Via Monte Bianco 34",Torino,"Southern Europe",10100,Italy
12850,SEVES,5,"2013-04-09 01:55:48","2013-04-11 13:22:29","2013-04-10 04:34:55",1,148.5,"The Big Cheese","89 Jefferson Way Suite 2",Portland,"North America",97201,USA
12851,THECR,7,"2012-11-02 14:08:39","2012-12-20 05:05:24","2012-11-03 08:45:40",2,386.75,"Island Trading","Garden House Crowther Way",Cowes,"British Isles","PO31 7PJ",UK
12852,GROSR,6,"2012-11-25 08:25:46","2012-12-27 23:32:26","2012-12-01 23:14:56",3,210.75,"Around the Horn","Brook Farm Stratford St. Mary",Colchester,"British Isles","CO7 6JX",UK
12853,FURIB,5,"2014-12-31 05:29:48","2015-01-06 02:21:29","2015-01-04 14:39:35",2,527.25,"Blauer See Delikatessen","Forsterstr. 57",Mannheim,"Western Europe",68306,Germany
12854,FISSA,1,"2015-12-19 03:46:42","2016-02-14 14:52:49","2015-12-26 12:02:10",1,324.25,"Maison Dewey","Rue Joseph-Bens 532",Bruxelles,"Western Europe",B-1180,Belgium
12855,MAGAA,4,"2014-06-02 08:31:13","2014-06-19 21:42:55","2014-06-03 13:57:47",1,206.75,Frankenversand,"Berliner Platz 43","München","Western Europe",80805,Germany
12856,TOMSP,1,"2012-11-22 15:57:20","2013-01-08 05:11:14","2012-11-25 06:01:16",3,297,"Drachenblut Delikatessen","Walserweg 21",Aachen,"Western Europe",52066,Germany
12857,LILAS,2,"2015-07-04 23:23:31","2015-07-09 19:57:36","2015-07-08 08:02:16",3,302.75,"Franchi S.p.A.","Via Monte Bianco 34",Torino,"Southern Europe",10100,Italy
12858,ANTON,9,"2013-02-24 08:30:11","2013-02-25 09:12:21","2013-03-13 23:09:30",3,89.75,"Godos Cocina Típica","C/ Romero, 33",Sevilla,"Southern Europe",41101,Spain
12859,HUNGO,1,"2014-12-05 11:23:58","2015-01-22 01:02:36","2014-12-11 04:25:19",2,432.5,"Pericles Comidas clásicas","Calle Dr. Jorge Cash 321","México D.F.","Central America",05033,Mexico
12860,BOLID,1,"2013-10-16 21:57:09","2013-11-15 01:57:52","2013-10-19 01:37:48",1,159,"Königlich Essen","Maubelstr. 90",Brandenburg,"Western Europe",14776,Germany
12861,COMMI,1,"2012-09-02 21:37:39","2012-09-18 11:30:27","2012-09-08 10:16:23",1,406.25,"Lonesome Pine Restaurant","89 Chiaroscuro Rd.",Portland,"North America",97219,USA
12862,MEREP,1,"2013-02-05 05:40:18","2013-02-12 13:27:46","2013-02-13 05:56:29",2,287.75,"Let's Stop N Shop","87 Polk St. Suite 5","San Francisco","North America",94117,USA
12863,TRAIH,2,"2014-05-09 16:05:32","2014-06-17 01:48:03","2014-05-18 10:00:03",3,179.25,"Tortuga Restaurante","Avda. Azteca 123","México D.F.","Central America",05033,Mexico
12864,QUEEN,3,"2014-08-06 09:21:42","2014-08-20 00:15:29","2014-08-07 05:31:43",1,180.5,"Wartian Herkku","Torikatu 38",Oulu,Scandinavia,90110,Finland
12865,SAVEA,4,"2014-12-02 03:20:23","2014-12-19 22:47:40","2014-12-11 22:48:53",1,154.25,"Drachenblut Delikatessen","Walserweg 21",Aachen,"Western Europe",52066,Germany
12866,LILAS,3,"2015-11-02 16:41:18","2015-12-05 05:08:45","2015-11-20 19:20:20",1,186.75,"Hungry Coyote Import Store","City Center Plaza 516 Main St.",Elgin,"North America",97827,USA
12867,FRANK,2,"2014-04-11 02:27:11","2014-05-11 21:27:32","2014-04-24 16:42:33",2,509.25,"Split Rail Beer & Ale","P.O. Box 555",Lander,"North America",82520,USA
12868,BLAUS,5,"2016-02-05 23:51:59","2016-02-21 18:45:32","2016-02-22 19:33:11",1,328,"Furia Bacalhau e Frutos do Mar","Jardim das rosas n. 32",Lisboa,"Southern Europe",1675,Portugal
12869,GOURL,4,"2012-10-31 17:11:06","2012-11-07 15:30:59","2012-11-02 01:06:38",2,335,"Lonesome Pine Restaurant","89 Chiaroscuro Rd.",Portland,"North America",97219,USA
12870,ALFKI,5,"2014-11-14 04:47:46","2014-12-18 09:29:23","2014-11-18 11:02:39",1,252.5,"Maison Dewey","Rue Joseph-Bens 532",Bruxelles,"Western Europe",B-1180,Belgium
12871,MAGAA,3,"2013-06-14 22:08:52","2013-06-30 09:35:54","2013-06-27 18:18:17",3,136.75,"Blauer See Delikatessen","Forsterstr. 57",Mannheim,"Western Europe",68306,Germany
12872,LACOR,9,"2015-07-30 09:46:24","2015-08-11 12:59:02","2015-08-03 20:12:36",1,102.25,"Laughing Bacchus Wine Cellars","2319 Elm St.",Vancouver,"North America","V3F 2K1",Canada
12873,RANCH,7,"2014-08-14 09:15:27","2014-09-09 20:00:33","2014-08-14 18:50:59",3,15.25,"Island Trading","Garden House Crowther Way",Cowes,"British Isles","PO31 7PJ",UK
12874,OLDWO,6,"2014-06-08 03:55:41","2014-06-08 06:59:34","2014-06-14 21:28:24",2,103.75,"Océano Atlántico Ltda.","Ing. Gustavo Moncada 8585 Piso 20-A","Buenos Aires","South America",1010,Argentina
12875,VINET,3,"2012-11-21 05:33:11","2012-12-01 11:16:02","2012-11-23 05:19:53",2,431.5,"Great Lakes Food Market","2732 Baker Blvd.",Eugene,"North America",97403,USA
12876,VINET,7,"2016-02-19 22:28:36","2016-02-26 19:03:40","2016-03-10 05:01:23",3,142.25,"Old World Delicatessen","2743 Bering St.",Anchorage,"North America",99508,USA
12877,MAISD,3,"2012-07-23 20:54:15","2012-07-24 00:34:26","2012-07-24 18:36:51",3,101.25,"Laughing Bacchus Wine Cellars","2319 Elm St.",Vancouver,"North America","V3F 2K1",Canada
12878,LETSS,3,"2012-10-21 00:07:28","2012-11-05 13:48:31","2012-10-22 07:06:31",1,283.25,"Old World Delicatessen","2743 Bering St.",Anchorage,"North America",99508,USA
12879,DRACD,6,"2014-05-04 15:46:57","2014-05-14 06:31:02","2014-05-25 17:01:01",1,51.75,"Toms Spezialitäten","Luisenstr. 48","Münster","Western Europe",44087,Germany
12880,VINET,6,"2013-06-21 19:59:41","2013-07-05 03:03:47","2013-06-25 16:44:21",2,163.75,"Hungry Owl All-Night Grocers","8 Johnstown Road",Cork,"British Isles",,Ireland
12881,LAUGB,6,"2014-02-02 14:20:06","2014-02-17 04:23:22","2014-02-18 20:21:13",1,251.75,"The Cracker Box","55 Grizzly Peak Rd.",Butte,"North America",59801,USA
12882,GALED,2,"2013-04-07 23:22:25","2013-05-12 18:31:52","2013-04-09 22:27:02",2,311.5,"Folk och fä HB","Åkergatan 24","Bräcke","Northern Europe","S-844 67",Sweden
12883,CHOPS,3,"2013-06-14 12:49:17","2013-07-05 08:06:59","2013-06-20 14:20:04",1,286.5,"Galería del gastronómo","Rambla de Cataluña, 23",Barcelona,"Southern Europe",8022,Spain
12884,FURIB,6,"2015-09-28 14:49:53","2015-10-13 08:15:11","2015-09-28 17:26:52",3,209.5,"Hungry Owl All-Night Grocers","8 Johnstown Road",Cork,"British Isles",,Ireland
12885,RANCH,6,"2014-02-08 15:38:57","2014-02-23 06:50:34","2014-02-14 18:20:38",1,131.75,"Ricardo Adocicados","Av. Copacabana, 267","Rio de Janeiro","South America",02389-890,Brazil
12886,THEBI,4,"2016-01-28 06:53:59","2016-01-31 19:04:23","2016-01-31 14:07:35",3,269.5,"Pericles Comidas clásicas","Calle Dr. Jorge Cash 321","México D.F.","Central America",05033,Mexico
